idsite,GPSlatitude,GPSlongitude,year,day,I,Tmax,Tmin
92,54,23,2010,1,1.5,-5,-7.7
92,54,23,2010,2,1.2,-6.4,-11.4
92,54,23,2010,3,2.3,-12.5,-17.2
92,54,23,2010,4,1.5,-7.8,-16
92,54,23,2010,5,1.2,-8,-12.9
92,54,23,2010,6,1.1,-9.8,-16.1
92,54,23,2010,7,1.5,-7.7,-11.3
92,54,23,2010,8,2,-6.9,-9.8
92,54,23,2010,9,1.3,-8.1,-9
92,54,23,2010,10,0.6,-7.3,-9.9
92,54,23,2010,11,1.3,-7.2,-9.7
92,54,23,2010,12,1.8,-8.6,-14.2
92,54,23,2010,13,2.4,-12.7,-17.7
92,54,23,2010,14,2.3,-13.4,-21.7
92,54,23,2010,15,2.8,-10.3,-14.3
92,54,23,2010,16,2.8,-11.1,-15.6
92,54,23,2010,17,1.7,-9.1,-15.8
92,54,23,2010,18,1.9,-7.5,-12.1
92,54,23,2010,19,2.2,-11.6,-14.8
92,54,23,2010,20,2,-12.1,-15.3
92,54,23,2010,21,2.8,-14.7,-18.4
92,54,23,2010,22,4.1,-17.2,-23.3
92,54,23,2010,23,4,-17.8,-23.2
92,54,23,2010,24,4.6,-19.6,-24.5
92,54,23,2010,25,4.1,-16,-22.1
92,54,23,2010,26,3.8,-12.2,-24.1
92,54,23,2010,27,4.1,-13.2,-24.5
92,54,23,2010,28,2.3,-3.1,-13.3
92,54,23,2010,29,3.2,-3.7,-8.8
92,54,23,2010,30,1.9,-2.4,-8.7
92,54,23,2010,31,4,-3.6,-10
92,54,23,2010,32,2.3,-6.8,-10.1
92,54,23,2010,33,3.3,-2.5,-9.8
92,54,23,2010,34,2.6,-5.4,-8.5
92,54,23,2010,35,3.2,-2.2,-9.9
92,54,23,2010,36,5.1,-5.4,-11.1
92,54,23,2010,37,4.5,-7.3,-12.8
92,54,23,2010,38,6,-8.2,-17.6
92,54,23,2010,39,5.6,-7.9,-13.6
92,54,23,2010,40,4.7,-7.6,-13.5
92,54,23,2010,41,5.4,-6,-17
92,54,23,2010,42,2.1,-2.6,-13.8
92,54,23,2010,43,2.6,-3.3,-7
92,54,23,2010,44,4.3,-3.5,-8.9
92,54,23,2010,45,3.1,-5.9,-9.3
92,54,23,2010,46,4.6,-4.2,-9.4
92,54,23,2010,47,4.4,-2.4,-11.4
92,54,23,2010,48,4.4,-2.8,-10.7
92,54,23,2010,49,3.3,-3.5,-10.1
92,54,23,2010,50,4.6,0.7,-4.4
92,54,23,2010,51,3.3,0.3,-1.1
92,54,23,2010,52,6.3,-0.1,-6.3
92,54,23,2010,53,7.3,-2.1,-10.2
92,54,23,2010,54,4.8,1,-6.1
92,54,23,2010,55,6.8,-0.6,-5.7
92,54,23,2010,56,4.2,0.6,-3.9
92,54,23,2010,57,6.9,0,-2.5
92,54,23,2010,58,4.7,0.7,-0.5
92,54,23,2010,59,9.6,0.9,-3.3
92,54,23,2010,60,6.7,4.1,-0.1
92,54,23,2010,61,3.8,1.2,-1.2
92,54,23,2010,62,6.6,1.1,-4.2
92,54,23,2010,63,6.7,-0.8,-6.2
92,54,23,2010,64,8,-0.9,-7.8
92,54,23,2010,65,8.1,-2.8,-8.8
92,54,23,2010,66,10.2,-1.2,-10.4
92,54,23,2010,67,10.9,-1.5,-10.1
92,54,23,2010,68,6.2,-0.5,-9
92,54,23,2010,69,10.5,1.5,-7.6
92,54,23,2010,70,11.6,3.5,-7.3
92,54,23,2010,71,8.3,3,-7.5
92,54,23,2010,72,9.5,0.3,-4
92,54,23,2010,73,9.5,2.4,-5
92,54,23,2010,74,10.1,0.9,-8.2
92,54,23,2010,75,9,0.9,-5.4
92,54,23,2010,76,7,0.9,-5.9
92,54,23,2010,77,6.7,3.6,-3.2
92,54,23,2010,78,10.8,9.2,1.5
92,54,23,2010,79,5.3,12,3.5
92,54,23,2010,80,6,12.1,3.2
92,54,23,2010,81,10.4,5.8,-2.5
92,54,23,2010,82,7.6,8.8,-2.6
92,54,23,2010,83,6.4,8,-0.3
92,54,23,2010,84,16.2,12.6,-1.6
92,54,23,2010,85,10.5,15.5,1.1
92,54,23,2010,86,7.5,13.1,5.2
92,54,23,2010,87,7.2,11.5,4.7
92,54,23,2010,88,9.5,10.3,2.7
92,54,23,2010,89,8.1,13.8,4.8
92,54,23,2010,90,16.5,18.1,7.6
92,54,23,2010,91,4.8,8.6,4.3
92,54,23,2010,92,10.6,7.2,1.1
92,54,23,2010,93,8.3,11.6,-1.2
92,54,23,2010,94,16.1,14,-0.3
92,54,23,2010,95,17.1,15.2,3
92,54,23,2010,96,6.3,7.2,4.1
92,54,23,2010,97,10.9,12.1,2.9
92,54,23,2010,98,14.8,13,-0.2
